"","Type.of.feeding.interaction","Predator.lifestage","lm_intercept","lm_slope","lm_r_squared","F_statistic","P_value"
"1","insectivorous","larva / juvenile",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"2","piscivorous","adult",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"3","piscivorous","juvenile",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"4","piscivorous","larva / juvenile",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"5","piscivorous","postlarva",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"6","piscivorous","postlarva/juvenile",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"7","planktivorous","adult",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"8","planktivorous","juvenile",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"9","planktivorous","larva",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"10","planktivorous","larva / juvenile",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"11","planktivorous","postlarva/juvenile",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"12","predacious","adult",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"13","predacious","juvenile",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"14","predacious","larva",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"15","predacious","larva / juvenile",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"16","predacious","postlarva",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"17","predacious","postlarva/juvenile",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
"18","predacious/piscivorous","adult",13086.9364786575,75.7336502332233,0.0398635442470275,1450.20400867131,6.07763828936468e-311
